OCC_CODE,OCC_TITLE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,H_PCT10,H_PCT25,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_PCT75,A_PCT90
11-1011,Chief Executives,211850,126.41,262930.0,99.24,206420.0,35.44,60.61,,,73710.0,126080.0,,
11-1021,General and Operations Managers,3584420,64.0,133120.0,49.5,102950.0,22.8,32.29,78.91,,47420.0,67160.0,164130.0,
11-1031,Legislators,26510,,67390.0,,44810.0,,,,,20380.0,29120.0,80350.0,137820.0
11-2011,Advertising and Promotions Managers,21100,71.76,149270.0,61.04,126960.0,30.29,41.34,85.85,,63000.0,85990.0,178570.0,
11-2021,Marketing Managers,384980,82.46,171520.0,77.42,161030.0,39.38,53.47,101.48,,81900.0,111210.0,211080.0,
11-2022,Sales Managers,603710,77.37,160930.0,66.38,138060.0,32.17,46.11,96.87,,66910.0,95910.0,201490.0,
11-2032,Public Relations Managers,76060,78.61,163520.0,66.6,138520.0,37.92,49.19,95.19,,78880.0,102300.0,198000.0,
11-2033,Fundraising Managers,36920,66.01,137290.0,59.36,123480.0,35.43,44.66,80.01,104.16,73700.0,92880.0,166420.0,216660.0
11-3012,Administrative Services Managers,254140,60.59,126030.0,52.11,108390.0,31.13,40.22,70.74,96.16,64740.0,83660.0,147150.0,200010.0
11-3013,Facilities Managers,141090,55.06,114520.0,50.33,104690.0,30.07,38.54,65.22,83.21,62550.0,80150.0,135650.0,173080.0
11-3021,Computer and Information Systems Managers,645970,90.38,187990.0,82.31,171200.0,50.22,64.59,103.95,,104450.0,134350.0,216220.0,
11-3031,Financial Managers,818620,86.76,180470.0,77.74,161700.0,41.58,56.91,102.98,,86490.0,118360.0,214210.0,
11-3051,Industrial Production Managers,234380,62.11,129180.0,58.39,121440.0,36.01,45.49,75.16,94.86,74900.0,94620.0,156330.0,197310.0
11-3061,Purchasing Managers,81240,72.42,150630.0,67.07,139510.0,41.1,51.65,84.36,105.35,85500.0,107430.0,175460.0,219140.0
11-3071,"Transportation, Storage, and Distribution Managers",213000,55.77,116010.0,49.05,102010.0,29.42,37.67,65.41,86.82,61200.0,78360.0,136050.0,180590.0
11-3111,Compensation and Benefits Managers,20070,75.11,156230.0,67.48,140360.0,39.26,50.58,91.78,,81660.0,105210.0,190890.0,
11-3121,Human Resources Managers,215520,77.15,160480.0,67.32,140030.0,40.28,50.76,91.33,,83790.0,105590.0,189960.0,
11-3131,Training and Development Managers,44960,67.59,140590.0,61.1,127090.0,36.45,46.21,81.4,105.76,75810.0,96110.0,169310.0,219990.0
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5910,46.75,97240.0,42.3,87980.0,24.85,32.68,55.38,75.26,51700.0,67970.0,115200.0,156530.0
11-9021,Construction Managers,348330,57.53,119660.0,51.43,106980.0,31.33,40.14,66.99,85.09,65160.0,83480.0,139330.0,176990.0
11-9031,"Education and Childcare Administrators, Preschool and Daycare",71620,30.12,62640.0,27.05,56270.0,17.82,21.78,34.95,46.35,37060.0,45310.0,72690.0,96400.0
11-9032,"Education Administrators, Kindergarten through Secondary",319630,,113360.0,,104070.0,,,,,72400.0,83840.0,132550.0,165820.0
11-9033,"Education Administrators, Postsecondary",176420,59.83,124450.0,49.98,103960.0,30.68,38.41,67.76,102.12,63820.0,79880.0,140940.0,212420.0
11-9039,"Education Administrators, All Other",53330,47.82,99460.0,42.81,89040.0,23.8,31.34,58.52,75.98,49490.0,65180.0,121720.0,158050.0
11-9041,Architectural and Engineering Managers,210340,84.48,175710.0,80.64,167740.0,53.58,64.87,99.62,,111450.0,134930.0,207210.0,
11-9051,Food Service Managers,244230,34.79,72370.0,31.4,65310.0,20.37,25.52,39.57,50.68,42380.0,53090.0,82300.0,105420.0
11-9071,Gambling Managers,4620,49.27,102480.0,41.14,85580.0,24.84,33.74,57.93,79.43,51670.0,70190.0,120490.0,165220.0
11-9072,"Entertainment and Recreation Managers, Except Gambling",36700,41.86,87060.0,37.11,77180.0,21.79,28.07,48.92,64.75,45320.0,58380.0,101750.0,134680.0
11-9081,Lodging Managers,41350,37.24,77460.0,32.76,68130.0,18.99,24.06,43.59,61.05,39490.0,50040.0,90670.0,126990.0
11-9111,Medical and Health Services Managers,565840,66.22,137730.0,56.71,117960.0,33.5,42.58,78.09,105.33,69680.0,88560.0,162420.0,219080.0
11-9121,Natural Sciences Managers,100870,83.41,173500.0,77.49,161180.0,38.38,54.86,103.28,,79830.0,114110.0,214820.0,
11-9131,Postmasters and Mail Superintendents,13810,45.08,93760.0,44.58,92730.0,39.15,41.9,47.88,52.47,81430.0,87150.0,99590.0,109140.0
11-9141,"Property, Real Estate, and Community Association Managers",296640,39.77,82720.0,32.07,66700.0,18.92,23.81,46.04,67.81,39360.0,49530.0,95760.0,141040.0
11-9151,Social and Community Service Managers,195490,41.39,86100.0,37.61,78240.0,24.05,30.01,48.36,62.41,50020.0,62420.0,100600.0,129820.0
11-9161,Emergency Management Directors,12570,46.97,97700.0,41.41,86130.0,24.64,30.99,57.54,77.12,51260.0,64470.0,119690.0,160420.0
