onet_soc_code,api_usage_count,task_usage_share,weighted_exposure,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,Job Zone,nonroutine_total,task_importance,ai_exposure,wage_bill,wage_share,emp_share,wage_at_risk,emp_at_risk,wage_quintile,routine_intensity
11-1011.00,1249.0,0.0015046271199099875,0.006235420536654355,262930.0,206420.0,211850.0,Chief Executives,5,0.7973537604456826,4.159999999999999,0.0015046271199099875,55701720500.0,0.004672469764954482,0.00143086252609205,83810319.28994611,318.7552553529308,Q5 (highest),0.20264623955431738
11-1021.00,376.0,0.000452954201029748,0.0018386687965151435,133120.0,102950.0,3584420.0,General and Operations Managers,4,0.6608635097493037,3.73,0.000452954201029748,477157990400.0,0.04002580644255757,0.024209640102784355,216130716.30659217,1623.5780972550494,Q5 (highest),0.33913649025069625
11-1031.00,17.0,2.047931228060031e-05,8.24595182363101e-05,67390.0,44810.0,26510.0,Legislators,4,,,2.047931228060031e-05,1786508900.0,0.00014985908415651345,0.00017905199701062188,36586.47365517175,0.5429065685587142,Q2,
11-2011.00,2913.0,0.0035091903925522764,0.01359883429786313,149270.0,126960.0,21100.0,Advertising and Promotions Managers,4,0.49651810584958234,3.736666666666667,0.0035091903925522764,3149597000.0,0.0002642000394636166,0.00014251215152486313,11052535.532811472,74.04391728285303,Q5 (highest),0.5034818941504177
11-2021.00,224.0,0.00026984505593261585,0.0010990162702112743,171520.0,161030.0,384980.0,Marketing Managers,4,0.5626740947075209,3.81,0.00026984505593261585,66031769600.0,0.0055389931264769555,0.00260020512294037,17818346.561041605,103.88494963293846,Q5 (highest),0.43732590529247906
11-2022.00,588.0,0.0007083432718231166,0.002896039782871103,160930.0,138060.0,603710.0,Sales Managers,4,0.6218662952646239,4.08,0.0007083432718231166,97155050300.0,0.00814973094124412,0.004077536066212091,68819126.20364146,427.6339166323337,Q5 (highest),0.3781337047353761
11-2032.00,708.0,0.0008529031232155893,0.003434196406547503,163520.0,138520.0,76060.0,Public Relations Managers,4,,,0.0008529031232155893,12437331200.0,0.0010432901078652507,0.0005137191585299095,10607838.624946693,64.87181155177772,Q5 (highest),
11-2033.00,50.0,6.023327141353032e-05,0.00024252799481267677,137290.0,123480.0,36920.0,Fundraising Managers,4,,,6.023327141353032e-05,5068746800.0,0.00042518554106797804,0.00024936249451649035,305307.2017308633,2.2238123805875394,Q5 (highest),
11-3013.00,31.0,3.73446282763888e-05,0.00013518755436052747,114520.0,104690.0,141090.0,Facilities Managers,3,0.8022284122562676,3.62,3.73446282763888e-05,16157626800.0,0.0013553624918357457,0.0009529402587034569,603400.5666746175,5.268953603515696,Q5 (highest),0.19777158774373238
11-3013.01,6491.0,0.007819483294904506,0.031484984286581696,114520.0,104690.0,141090.0,Security Managers,4,,,0.007819483294904506,16157626800.0,0.0013553624918357457,0.0009529402587034569,126344292.84790134,1103.2508980780767,Q5 (highest),
11-3021.00,433.0,0.0005216201304411726,0.002005755891416277,187990.0,171200.0,645970.0,Computer and Information Systems Managers,4,0.6128133704735379,3.82625,0.0005216201304411726,121435900300.0,0.010186499940011313,0.004362965617086058,63343410.15472723,336.95095566108427,Q5 (highest),0.3871866295264621
11-3031.00,1438.0,0.0017323088858531318,0.006990083194194476,180470.0,161700.0,818620.0,Financial Managers,4,0.5647632311977715,3.785555555555556,0.0017323088858531318,147736351400.0,0.012392680673143494,0.0055290662313404485,255924994.29374078,1418.1027001370908,Q5 (highest),0.4352367688022285
11-3031.01,122.0,0.000146969182249014,0.0005963334803025155,180470.0,161700.0,818620.0,Treasurers and Controllers,4,0.5745125348189415,4.055,0.000146969182249014,147736351400.0,0.012392680673143494,0.0055290662313404485,21712690.753710974,120.31191197268784,Q5 (highest),0.4254874651810585
11-3031.03,1851.0,0.0022298357077288923,0.009653128636583762,180470.0,161700.0,818620.0,Investment Fund Managers,5,0.4603064066852369,4.221818181818182,0.0022298357077288923,147736351400.0,0.012392680673143494,0.0055290662313404485,329427791.6813033,1825.3881070610257,Q5 (highest),0.5396935933147631
11-3051.01,83.0,9.998723054646033e-05,0.00032695824388692527,129180.0,121440.0,234380.0,Quality Control Systems Managers,4,0.7827298050139277,3.27,9.998723054646033e-05,30277208400.0,0.002539766088845063,0.0015830330840946646,3027334.2165940255,23.43500709547937,Q5 (highest),0.21727019498607225
11-3051.04,32.0,3.85492937046594e-05,0.00013877745733677384,129180.0,121440.0,234380.0,Biomass Power Plant Managers,4,0.8718662952646242,3.6,3.85492937046594e-05,30277208400.0,0.002539766088845063,0.0015830330840946646,1167164.9991687809,9.035183458498071,Q5 (highest),0.12813370473537578
11-3061.00,1340.0,0.0016142516738826126,0.006711805480263966,150630.0,139510.0,81240.0,Purchasing Managers,4,0.6155988857938723,4.02,0.0016142516738826126,12237181200.0,0.0010265007732619211,0.0005487055540227432,19753890.23570484,131.14180598622346,Q5 (highest),0.38440111420612766
11-3071.00,912.0,0.001098654870582793,0.004442541073067776,116010.0,102010.0,213000.0,"Transportation, Storage, and Distribution Managers",4,0.6176880222841229,3.9825,0.001098654870582793,24710130000.0,0.002072778619344347,0.0014386297760566752,27147904.67723399,234.01348743413493,Q5 (highest),0.3823119777158771
11-3071.04,37.0,4.457262084601244e-05,0.00015224561682483924,116010.0,102010.0,213000.0,Supply Chain Managers,4,0.6824512534818944,3.415,4.457262084601244e-05,24710130000.0,0.002072778619344347,0.0014386297760566752,1101395.2555456774,9.49396824020065,Q5 (highest),0.3175487465181056
11-3111.00,101.0,0.00012167120825533124,0.00046371186330420455,156230.0,140360.0,20070.0,Compensation and Benefits Managers,4,0.5355153203342619,3.7175000000000002,0.00012167120825533124,3135536100.0,0.00026302055829986965,0.00013555539720872052,381504.46581520914,2.441941149684498,Q5 (highest),0.46448467966573814
11-3121.00,240.0,0.00028911970278494554,0.0011658029215545966,160480.0,140030.0,215520.0,Human Resources Managers,4,0.6295264623955433,3.965,0.00028911970278494554,34586649600.0,0.0029012582210467814,0.0014556501846748106,9999681.852679055,62.31107834421146,Q5 (highest),0.37047353760445667
