onet_soc_code,api_usage_count,task_usage_share,weighted_exposure,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,weight_method,wage_bill,wage_share,emp_share,wage_at_risk,emp_at_risk
11-1011.00,1249.0,0.0015046271199099875,0.0015046271199099875,262930.0,206420.0,211850.0,Chief Executives,5,0.0015046271199099875,employment_weighted,55701720500.0,0.004643689403484496,0.0014242271492048194,83810319.28994611,318.7552553529308
11-1021.00,376.0,0.00045295420102974796,0.00045295420102974796,133120.0,102950.0,3584420.0,General and Operations Managers,4,0.00045295420102974796,employment_weighted,477157990400.0,0.039779265055348456,0.02409737209418333,216130716.30659214,1623.5780972550492
11-1031.00,17.0,2.047931228060031e-05,2.047931228060031e-05,67390.0,44810.0,26510.0,Legislators,4,2.047931228060031e-05,employment_weighted,1786508900.0,0.000148936018020498,0.0001782216744178417,36586.47365517175,0.5429065685587142
11-2011.00,2785.4576751332406,0.0033555445631440325,0.0033555445631440325,149270.0,126960.0,21100.0,Advertising and Promotions Managers,4,0.0033555445631440325,employment_weighted,3149597000.0,0.00026257268326472174,0.00014185127613038323,10568613.089444755,70.80199028233909
11-2021.00,224.0,0.00026984505593261585,0.00026984505593261585,171520.0,161030.0,384980.0,Marketing Managers,4,0.00026984505593261585,employment_weighted,66031769600.0,0.005504875361701793,0.0025881471224964425,17818346.561041605,103.88494963293846
11-2022.00,715.5423248667595,0.0008619891012313602,0.0008619891012313602,160930.0,138060.0,603710.0,Sales Managers,4,0.0008619891012313602,employment_weighted,97155050300.0,0.008099532178240583,0.00405862719965278,83746594.48818459,520.3914403043844
11-2032.00,641.6629491945478,0.0007729891714968302,0.0007729891714968302,163520.0,138520.0,76060.0,Public Relations Managers,4,0.0007729891714968302,employment_weighted,12437331200.0,0.001036863899043605,0.0005113368749989076,9613922.339919677,58.793556384048905
11-2033.00,79.2596969377589,9.54814167561238e-05,9.54814167561238e-05,137290.0,123480.0,36920.0,Fundraising Managers,4,9.54814167561238e-05,employment_weighted,5068746800.0,0.0004225665848886292,0.0002482061191816943,483971.12564206886,3.5251739066360903
11-3013.00,31.0,3.73446282763888e-05,3.73446282763888e-05,114520.0,104690.0,141090.0,Facilities Managers,3,3.73446282763888e-05,employment_weighted,16157626800.0,0.0013470140541999435,0.0009485211634708896,603400.5666746175,5.268953603515696
11-3013.01,6491.0,0.007819483294904506,0.007819483294904506,114520.0,104690.0,141090.0,Security Managers,4,0.007819483294904506,employment_weighted,16157626800.0,0.0013470140541999435,0.0009485211634708896,126344292.84790134,1103.2508980780767
11-3021.00,431.76315289648625,0.0005201301434955129,0.0005201301434955129,187990.0,171200.0,645970.0,Computer and Information Systems Managers,4,0.0005201301434955129,employment_weighted,121435900300.0,0.010123755574582472,0.004342733120471264,63162472.2485458,335.98846879379647
11-3031.00,1438.0,0.0017323088858531318,0.0017323088858531318,180470.0,161700.0,818620.0,Financial Managers,4,0.0017323088858531318,employment_weighted,147736351400.0,0.01231634720341613,0.005503426145301153,255924994.29374078,1418.1027001370908
11-3031.01,122.0,0.000146969182249014,0.000146969182249014,180470.0,161700.0,818620.0,Treasurers and Controllers,4,0.000146969182249014,employment_weighted,147736351400.0,0.01231634720341613,0.005503426145301153,21712690.753710974,120.31191197268784
11-3031.03,1851.0,0.0022298357077288923,0.0022298357077288923,180470.0,161700.0,818620.0,Investment Fund Managers,5,0.0022298357077288923,employment_weighted,147736351400.0,0.01231634720341613,0.005503426145301153,329427791.6813033,1825.3881070610257
11-3051.01,83.0,9.998723054646033e-05,9.998723054646033e-05,129180.0,121440.0,234380.0,Quality Control Systems Managers,4,9.998723054646033e-05,employment_weighted,30277208400.0,0.0025241222452755613,0.0015756920426274513,3027334.2165940255,23.43500709547937
11-3051.04,32.0,3.85492937046594e-05,3.85492937046594e-05,129180.0,121440.0,234380.0,Biomass Power Plant Managers,4,3.85492937046594e-05,employment_weighted,30277208400.0,0.0025241222452755613,0.0015756920426274513,1167164.9991687809,9.035183458498071
11-3061.00,1340.0,0.0016142516738826126,0.0016142516738826126,150630.0,139510.0,81240.0,Purchasing Managers,4,0.0016142516738826126,employment_weighted,12237181200.0,0.001020177979367077,0.0005461610271484519,19753890.23570484,131.14180598622346
11-3071.00,912.0,0.001098654870582793,0.001098654870582793,116010.0,102010.0,213000.0,"Transportation, Storage, and Distribution Managers",4,0.001098654870582793,employment_weighted,24710130000.0,0.002060011213472739,0.0014319583798943901,27147904.67723399,234.01348743413493
11-3071.04,37.0,4.457262084601244e-05,4.457262084601244e-05,116010.0,102010.0,213000.0,Supply Chain Managers,4,4.457262084601244e-05,employment_weighted,24710130000.0,0.002060011213472739,0.0014319583798943901,1101395.2555456774,9.49396824020065
11-3111.00,66.23723417802114,7.979370607852628e-05,7.979370607852628e-05,156230.0,140360.0,20070.0,Compensation and Benefits Managers,4,7.979370607852628e-05,employment_weighted,3135536100.0,0.00026140046718688164,0.00013492678255624604,250196.0459620086,1.6014596809960224
11-3121.00,274.76276582197886,0.0003309972049617505,0.0003309972049617505,160480.0,140030.0,215520.0,Human Resources Managers,4,0.0003309972049617505,employment_weighted,34586649600.0,0.0028833877447205832,0.0014488998593184927,11448084.346591447,71.33651761335646
11-3131.00,278.0,0.00033489698905922856,0.00033489698905922856,140590.0,127090.0,44960.0,Training and Development Managers,4,0.00033489698905922856,employment_weighted,6320926400.0,0.0005269571331084002,0.00030225750591573607,2116859.219424989,15.056968628102917
11-9013.00,24.0,2.8911970278494555e-05,2.8911970278494555e-05,97240.0,87980.0,5910.0,"Farmers, Ranchers, and Other Agricultural Managers",4,2.8911970278494555e-05,employment_weighted,574688400.0,4.7910089839782586e-05,3.973180293509786e-05,16615.37394019559,0.17086974434590282
11-9021.00,205.0,0.0002469564127954743,0.0002469564127954743,119660.0,106980.0,348330.0,Construction Managers,4,0.0002469564127954743,employment_weighted,41681167800.0,0.0034748369619519953,0.0023417561618244735,10293431.68101423,86.02232726904757
11-9031.00,142.0,0.0001710624908144261,0.0001710624908144261,62640.0,56270.0,71620.0,"Education and Childcare Administrators, Preschool and Daycare",4,0.0001710624908144261,employment_weighted,4486276800.0,0.00037400776583298415,0.0004814876017278696,767433.683890973,12.251495592129197
11-9032.00,700.0,0.0008432657997894244,0.0008432657997894244,113360.0,104070.0,319630.0,"Education Administrators, Kindergarten through Secondary",5,0.0008432657997894244,employment_weighted,36233256800.0,0.003020660567493468,0.0021488115350499714,30554266.2744276,269.5330475866937
11-9033.00,19.0,2.2888643137141523e-05,2.2888643137141523e-05,124450.0,103960.0,176420.0,"Education Administrators, Postsecondary",5,2.2888643137141523e-05,employment_weighted,21955469000.0,0.0018303631885810841,0.0011860380158730905,502530.89484957344,4.038014422254507
