normalized_task_text,original_task_text,n_socs,soc_codes
maintain regularly scheduled office hours to advise and assist students,Maintain regularly scheduled office hours to advise and assist students.,34,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
participate in student recruitment registration and placement activities,"Participate in student recruitment, registration, and placement activities.",34,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
compile administer and grade examinations or assign this work to others,"Compile, administer, and grade examinations, or assign this work to others.",34,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
act as advisers to student organizations,Act as advisers to student organizations.,34,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
maintain student attendance records grades and other required records,"Maintain student attendance records, grades, and other required records.",34,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
compile bibliographies of specialized materials for outside reading assignments,Compile bibliographies of specialized materials for outside reading assignments.,34,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
serve on academic or administrative committees that deal with institutional policies departmental matters and academic issues,"Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.",34,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
collaborate with colleagues to address teaching and research issues,Collaborate with colleagues to address teaching and research issues.,33,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
supervise undergraduate or graduate teaching internship and research work,"Supervise undergraduate or graduate teaching, internship, and research work.",33,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1061.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
write grant proposals to procure external research funding,Write grant proposals to procure external research funding.,33,25-1011.00; 25-1021.00; 25-1022.00; 25-1031.00; 25-1032.00; 25-1041.00; 25-1042.00; 25-1043.00; 25-1051.00; 25-1052.00; 25-1053.00; 25-1054.00; 25-1062.00; 25-1063.00; 25-1064.00; 25-1065.00; 25-1066.00; 25-1067.00; 25-1071.00; 25-1072.00; 25-1081.00; 25-1082.00; 25-1111.00; 25-1112.00; 25-1113.00; 25-1121.00; 25-1122.00; 25-1123.00; 25-1124.00; 25-1125.00; 25-1126.00; 25-1192.00; 25-1193.00
