task_description,api_count,task_lower,soc_code,task_id,occupation_title
access computerized financial information to answer general questions as well as those related to specific accounts.,42.0,access computerized financial information to answer general questions as well as those related to specific accounts.,43-3031.00,2494.0,"Bookkeeping, Accounting, and Auditing Clerks"
"accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",17.0,"accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",41-9022.00,2455.0,Real Estate Sales Agents
act as a liaison between a ship's captain and shore personnel to ensure that schedules and budgets are maintained and that the ship is operated safely and efficiently.,15.0,act as a liaison between a ship's captain and shore personnel to ensure that schedules and budgets are maintained and that the ship is operated safely and efficiently.,53-5031.00,14566.0,Ship Engineers
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,53.0,act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,41-9021.00,4603.0,Real Estate Brokers
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",100.0,"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",41-9022.00,2445.0,Real Estate Sales Agents
adapt instructional content or delivery methods for different levels or types of learners.,153.0,adapt instructional content or delivery methods for different levels or types of learners.,25-9031.00,22437.0,Instructional Coordinators
adapt teaching methods and instructional materials to meet students' varying needs and interests.,51.0,adapt teaching methods and instructional materials to meet students' varying needs and interests.,25-2011.00,6478.0,"Preschool Teachers, Except Special Education"
adapt teaching methods and instructional materials to meet students' varying needs and interests.,51.0,adapt teaching methods and instructional materials to meet students' varying needs and interests.,25-2021.00,6538.0,"Elementary School Teachers, Except Special Education"
adapt teaching methods and instructional materials to meet students' varying needs and interests.,51.0,adapt teaching methods and instructional materials to meet students' varying needs and interests.,25-2022.00,6574.0,"Middle School Teachers, Except Special and Career/Technical Education"
adapt teaching methods and instructional materials to meet students' varying needs and interests.,51.0,adapt teaching methods and instructional materials to meet students' varying needs and interests.,25-2023.00,6615.0,"Career/Technical Education Teachers, Middle School"
adapt teaching methods and instructional materials to meet students' varying needs and interests.,51.0,adapt teaching methods and instructional materials to meet students' varying needs and interests.,25-2031.00,6644.0,"Secondary School Teachers, Except Special and Career/Technical Education"
adapt teaching methods and instructional materials to meet students' varying needs and interests.,51.0,adapt teaching methods and instructional materials to meet students' varying needs and interests.,25-3021.00,8664.0,Self-Enrichment Teachers
adapt text to accommodate musical requirements of composers and singers.,21.0,adapt text to accommodate musical requirements of composers and singers.,27-3043.05,11058.0,"Poets, Lyricists and Creative Writers"
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",59.0,"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",27-3091.00,9334.0,Interpreters and Translators
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",458.0,"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",15-2021.00,7373.0,Mathematicians
"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",31.0,"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",43-4161.00,2704.0,"Human Resources Assistants, Except Payroll and Timekeeping"
administer construction contracts.,21.0,administer construction contracts.,17-1011.00,138.0,"Architects, Except Landscape and Naval"
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,300.0,administer document and system access rights and revision control to ensure security of system and integrity of master documents.,15-1299.03,16237.0,Document Management Specialists
"administer highway planning, construction, or maintenance.",23.0,"administer highway planning, construction, or maintenance.",,,
administer online purchasing systems.,1102.0,administer online purchasing systems.,11-3061.00,1035.0,Purchasing Managers
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,24.0,administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,,,
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",19.0,"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",,,
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",26.0,"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",,,
"administer, proctor, or score academic or diagnostic assessments.",409.0,"administer, proctor, or score academic or diagnostic assessments.",25-3041.00,17035.0,Tutors
