anthropic_task_description,api_usage_count,onet_soc_code,onet_task_id,onet_task_description,onet_task_type,onet_occupation_title,onet_occupation_description,match_method,match_score,Job Zone,typical_education,typical_education_pct,task_importance,task_relevance,dwa_ids,dwa_titles,iwa_ids,nonroutine_cognitive_analytical,nonroutine_cognitive_interpersonal,nonroutine_manual,nonroutine_total
"modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",96771.0,15-1253.00,21680.0,"Modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",exact,100.0,4,6.0,50.0,,,4.A.2.b.2.I02.D07,Modify software programs to improve performance.,4.A.2.b.2.I02,0.7561349693251533,0.5632183908045978,0.1592689295039164,0.5167130919220057
"modify existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",44663.0,15-1252.00,21670.0,"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",fuzzy,97.41379310344828,4,,,,,4.A.2.b.2.I02.D07,Modify software programs to improve performance.,4.A.2.b.2.I02,,,,
"perform routine system administrative functions such as troubleshooting, back-ups, and upgrades.",38355.0,15-2099.01,17724.0,"Perform routine system administrative functions, such as troubleshooting, back-ups, or upgrades.",Supplemental,Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",fuzzy,97.26775956284152,4,6.0,50.89,3.36,58.15,4.A.3.b.1.I02.D02; 4.A.3.b.1.I04.D02,Create electronic data backup to prevent loss of information.; Troubleshoot issues with computer applications or systems.,4.A.3.b.1.I02; 4.A.3.b.1.I04,0.8757668711656443,0.3054187192118228,0.1514360313315927,0.4575208913649027
"write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",33733.0,15-1243.01,16120.0,"Write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",Core,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",exact,100.0,4,6.0,78.26,3.91,100.0,4.A.2.b.2.I02.D07; 4.A.2.b.2.I02.D10; 4.A.3.b.1.I01.D03,Design software applications.; Modify software programs to improve performance.; Write computer programming code.,4.A.2.b.2.I02; 4.A.3.b.1.I01,0.8174846625766872,0.4105090311986864,0.11488250652741512,0.45612813370473565
"review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.",23454.0,15-1253.00,14647.0,"Review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.",Core,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",exact,100.0,4,6.0,50.0,3.71,100.0,4.A.4.b.4.I14.D03,Manage documentation to ensure organization or accuracy.,4.A.4.b.4.I14,0.7561349693251533,0.5632183908045978,0.1592689295039164,0.5167130919220057
"test programs or databases, correct errors, and make necessary modifications.",20728.0,15-1242.00,1300.0,"Test programs or databases, correct errors, and make necessary modifications.",Core,Database Administrators,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.",exact,100.0,4,6.0,88.98,3.68,99.48,4.A.2.a.1.I07.D06; 4.A.2.b.2.I02.D07,Assess database performance.; Modify software programs to improve performance.,4.A.2.a.1.I07; 4.A.2.b.2.I02,0.6978527607361965,0.4154351395730707,0.21932114882506523,0.45961002785515326
develop or apply data mining and machine learning algorithms.,17956.0,15-2099.01,17713.0,Develop or apply data mining and machine learning algorithms.,Supplemental,Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",exact,100.0,4,6.0,50.89,3.88,65.37,4.A.2.b.4.I03.D10,Develop data analysis or data management procedures.,4.A.2.b.4.I03,0.8757668711656443,0.3054187192118228,0.1514360313315927,0.4575208913649027
analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,14246.0,15-1252.00,21662.0,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",exact,100.0,4,,,,,4.A.2.a.4.I05.D05,Analyze project data to determine specifications or requirements.,4.A.2.a.4.I05,,,,
"design, build, or maintain web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",12185.0,15-1254.00,14694.0,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",Core,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",exact,100.0,3,6.0,45.83,4.42,100.0,4.A.2.b.2.I02.D08; 4.A.3.b.1.I06.D04,Design websites or web applications.; Update website content.,4.A.2.b.2.I02; 4.A.3.b.1.I06,0.726993865030675,0.4532019704433498,0.2506527415143603,0.5055710306406686
perform security analyses of developed or packaged software components.,10201.0,15-1299.08,14691.0,Perform security analyses of developed or packaged software components.,Core,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",exact,100.0,3,3.0,40.91,3.67,81.82,4.A.2.a.4.I12.D02,"Analyze security of systems, network, or data.",4.A.2.a.4.I12,0.6134969325153374,0.4482758620689655,0.38120104438642294,0.5215877437325906
