anthropic_task_description,api_usage_count,onet_soc_code,onet_task_id,onet_task_description,onet_task_type,onet_occupation_title,onet_occupation_description,match_method,match_score,Job Zone,typical_education,typical_education_pct,task_importance,task_relevance,dwa_ids,dwa_titles,iwa_ids,nonroutine_cognitive_analytical,nonroutine_cognitive_interpersonal,nonroutine_manual,nonroutine_total,soc_6digit,OCC_CODE,OCC_TITLE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,H_PCT10,H_PCT25,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_PCT75,A_PCT90
"modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",96771.0,15-1253.00,21680.0,"Modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",exact,100.0,4,6.0,50.0,,,4.A.2.b.2.I02.D07,Modify software programs to improve performance.,4.A.2.b.2.I02,0.7561349693251533,0.5632183908045978,0.1592689295039164,0.5167130919220057,15-1253,15-1253,Software Quality Assurance Analysts and Testers,199800.0,53.01,110260.0,49.33,102610.0,29.18,38.23,63.4,80.27,60690.0,79520.0,131870.0,166960.0
"modify existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",44663.0,15-1252.00,21670.0,"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",fuzzy,97.41379310344828,4,,,,,4.A.2.b.2.I02.D07,Modify software programs to improve performance.,4.A.2.b.2.I02,,,,,15-1252,15-1252,Software Developers,1654440.0,69.5,144570.0,63.98,133080.0,38.39,49.55,81.25,101.66,79850.0,103050.0,169000.0,211450.0
"perform routine system administrative functions such as troubleshooting, back-ups, and upgrades.",38355.0,15-2099.01,17724.0,"Perform routine system administrative functions, such as troubleshooting, back-ups, or upgrades.",Supplemental,Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",fuzzy,97.26775956284152,4,6.0,50.89,3.36,58.15,4.A.3.b.1.I02.D02; 4.A.3.b.1.I04.D02,Create electronic data backup to prevent loss of information.; Troubleshoot issues with computer applications or systems.,4.A.3.b.1.I02; 4.A.3.b.1.I04,0.8757668711656443,0.3054187192118228,0.1514360313315927,0.4575208913649027,15-2099,15-2099,"Mathematical Science Occupations, All Other",4660.0,40.72,84700.0,34.37,71490.0,19.39,25.21,49.0,74.11,40330.0,52440.0,101920.0,154140.0
"write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",33733.0,15-1243.01,16120.0,"Write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",Core,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",exact,100.0,4,6.0,78.26,3.91,100.0,4.A.2.b.2.I02.D07; 4.A.2.b.2.I02.D10; 4.A.3.b.1.I01.D03,Design software applications.; Modify software programs to improve performance.; Write computer programming code.,4.A.2.b.2.I02; 4.A.3.b.1.I01,0.8174846625766872,0.4105090311986864,0.1148825065274151,0.4561281337047356,15-1243,15-1243,Database Architects,64770.0,68.57,142620.0,65.37,135980.0,39.24,51.88,81.48,100.96,81630.0,107900.0,169480.0,209990.0
"review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.",23454.0,15-1253.00,14647.0,"Review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.",Core,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",exact,100.0,4,6.0,50.0,3.71,100.0,4.A.4.b.4.I14.D03,Manage documentation to ensure organization or accuracy.,4.A.4.b.4.I14,0.7561349693251533,0.5632183908045978,0.1592689295039164,0.5167130919220057,15-1253,15-1253,Software Quality Assurance Analysts and Testers,199800.0,53.01,110260.0,49.33,102610.0,29.18,38.23,63.4,80.27,60690.0,79520.0,131870.0,166960.0
"test programs or databases, correct errors, and make necessary modifications.",20728.0,15-1242.00,1300.0,"Test programs or databases, correct errors, and make necessary modifications.",Core,Database Administrators,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.",exact,100.0,4,6.0,88.98,3.68,99.48,4.A.2.a.1.I07.D06; 4.A.2.b.2.I02.D07,Assess database performance.; Modify software programs to improve performance.,4.A.2.a.1.I07; 4.A.2.b.2.I02,0.6978527607361965,0.4154351395730707,0.2193211488250652,0.4596100278551532,15-1242,15-1242,Database Administrators,73180.0,51.65,107440.0,50.3,104620.0,27.32,36.59,63.87,77.35,56820.0,76100.0,132850.0,160890.0
develop or apply data mining and machine learning algorithms.,17956.0,15-2099.01,17713.0,Develop or apply data mining and machine learning algorithms.,Supplemental,Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",exact,100.0,4,6.0,50.89,3.88,65.37,4.A.2.b.4.I03.D10,Develop data analysis or data management procedures.,4.A.2.b.4.I03,0.8757668711656443,0.3054187192118228,0.1514360313315927,0.4575208913649027,15-2099,15-2099,"Mathematical Science Occupations, All Other",4660.0,40.72,84700.0,34.37,71490.0,19.39,25.21,49.0,74.11,40330.0,52440.0,101920.0,154140.0
analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,14246.0,15-1252.00,21662.0,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",exact,100.0,4,,,,,4.A.2.a.4.I05.D05,Analyze project data to determine specifications or requirements.,4.A.2.a.4.I05,,,,,15-1252,15-1252,Software Developers,1654440.0,69.5,144570.0,63.98,133080.0,38.39,49.55,81.25,101.66,79850.0,103050.0,169000.0,211450.0
"design, build, or maintain web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",12185.0,15-1254.00,14694.0,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",Core,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",exact,100.0,3,6.0,45.83,4.42,100.0,4.A.2.b.2.I02.D08; 4.A.3.b.1.I06.D04,Design websites or web applications.; Update website content.,4.A.2.b.2.I02; 4.A.3.b.1.I06,0.726993865030675,0.4532019704433498,0.2506527415143603,0.5055710306406686,15-1254,15-1254,Web Developers,78860.0,47.5,98790.0,43.72,90930.0,23.35,30.36,59.76,78.3,48560.0,63140.0,124300.0,162870.0
perform security analyses of developed or packaged software components.,10201.0,15-1299.08,14691.0,Perform security analyses of developed or packaged software components.,Core,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",exact,100.0,3,3.0,40.91,3.67,81.82,4.A.2.a.4.I12.D02,"Analyze security of systems, network, or data.",4.A.2.a.4.I12,0.6134969325153374,0.4482758620689655,0.3812010443864229,0.5215877437325906,15-1299,15-1299,"Computer Occupations, All Other",439380.0,56.11,116700.0,52.39,108970.0,25.31,36.71,70.93,85.0,52650.0,76360.0,147530.0,176800.0
"write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",9971.0,15-1251.00,1270.0,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",Core,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",exact,100.0,4,6.0,88.04,4.15,88.75,4.A.2.b.2.I02.D07; 4.A.3.b.1.I01.D03,Modify software programs to improve performance.; Write computer programming code.,4.A.2.b.2.I02; 4.A.3.b.1.I01,0.8726993865030674,0.4187192118226601,0.1697127937336814,0.5139275766016714,15-1251,15-1251,Computer Programmers,109870.0,49.83,103640.0,47.44,98670.0,25.09,34.55,62.0,77.93,52190.0,71860.0,128960.0,162090.0
"evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",9465.0,15-1254.00,14700.0,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",Core,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",exact,100.0,3,6.0,45.83,4.09,95.83,4.A.1.b.2.I08.D03,Test software performance.,4.A.1.b.2.I08,0.726993865030675,0.4532019704433498,0.2506527415143603,0.5055710306406686,15-1254,15-1254,Web Developers,78860.0,47.5,98790.0,43.72,90930.0,23.35,30.36,59.76,78.3,48560.0,63140.0,124300.0,162870.0
"review, classify, and record survey data in preparation for computer analysis.",9360.0,19-3022.00,7548.0,"Review, classify, and record survey data in preparation for computer analysis.",Core,Survey Researchers,"Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams.",exact,100.0,5,6.0,45.83,4.78,95.83,4.A.1.a.1.I16.D05; 4.A.3.b.6.I08.D18,Classify organisms based on their characteristics or behavior.; Record research or operational data.,4.A.1.a.1.I16; 4.A.3.b.6.I08,0.8696319018404909,0.6617405582922826,0.1644908616187989,0.6128133704735377,19-3022,19-3022,Survey Researchers,7720.0,35.32,73470.0,30.47,63380.0,17.77,22.17,41.04,57.08,36950.0,46110.0,85370.0,118730.0
