anthropic_task,api_count,task_norm
develop or direct software system testing or validation procedures.,2405.0,develop or direct software system testing or validation procedures
develop instructional materials to be used by educators and instructors.,2307.0,develop instructional materials to be used by educators and instructors
help programmers and systems analysts test and debug new programs.,2208.0,help programmers and systems analysts test and debug new programs
"write, design, or edit web page content, or direct others producing content.",2088.0,write design or edit web page content or direct others producing content
"contact prospective customers to determine customer needs, present information, or explain available services.",1160.0,contact prospective customers to determine customer needs present information or explain available services
"record information such as computer operating time, problems that occurred, and actions taken.",979.0,record information such as computer operating time problems that occurred and actions taken
analyze market conditions to determine optimum times to execute securities transactions.,967.0,analyze market conditions to determine optimum times to execute securities transactions
respond to program error messages by finding and correcting problems or terminating the program.,841.0,respond to program error messages by finding and correcting problems or terminating the program
analyze target companies or investment opportunities to inform investment decisions.,686.0,analyze target companies or investment opportunities to inform investment decisions
discuss the treatment of problems with clients.,640.0,discuss the treatment of problems with clients
"retrieve, separate and sort program output as needed, and send data to specified users.",605.0,retrieve separate and sort program output as needed and send data to specified users
"write, present, and publish reports that record site history, methodology, and artifact analysis results, along with recommendations for conserving and interpreting findings.",559.0,write present and publish reports that record site history methodology and artifact analysis results along with recommendations for conserving and interpreting findings
"design information storage and retrieval systems and develop procedures for collecting, organizing, interpreting, and classifying information.",532.0,design information storage and retrieval systems and develop procedures for collecting organizing interpreting and classifying information
direct software programming and development of documentation.,531.0,direct software programming and development of documentation
"collect and analyze security data to determine security needs, security program goals, or program accomplishments.",505.0,collect and analyze security data to determine security needs security program goals or program accomplishments
call on prospective customers to explain company services or to solicit new business.,504.0,call on prospective customers to explain company services or to solicit new business
gather and organize information to plan advertising campaigns.,497.0,gather and organize information to plan advertising campaigns
"develop or manage integrated security controls to ensure confidentiality, accountability, recoverability, or audit ability of sensitive information, proprietary information, or information technology resources.",476.0,develop or manage integrated security controls to ensure confidentiality accountability recoverability or audit ability of sensitive information proprietary information or information technology resources
update and maintain content posted on the web.,404.0,update and maintain content posted on the web
narrate presentations and productions.,336.0,narrate presentations and productions
"edit or rewrite existing copy as necessary, and submit copy for approval by supervisor.",323.0,edit or rewrite existing copy as necessary and submit copy for approval by supervisor
enter claims information into database systems.,297.0,enter claims information into database systems
"process data for analysis, using computers.",294.0,process data for analysis using computers
coordinate due diligence processes and the negotiation or execution of purchase or sale agreements.,287.0,coordinate due diligence processes and the negotiation or execution of purchase or sale agreements
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",273.0,analyze information to determine recommend and plan computer specifications and layouts and peripheral equipment modifications
"provide customer support and education, working with users to identify needs, determine sources of problems, or to provide information on product use.",264.0,provide customer support and education working with users to identify needs determine sources of problems or to provide information on product use
"produce up-to-the-minute information, using internal computer systems, to allow management to base decisions on actual, not historical, data.",236.0,produce uptotheminute information using internal computer systems to allow management to base decisions on actual not historical data
"write reviews of literary, musical, or other artwork, based on knowledge, judgment, or experience.",233.0,write reviews of literary musical or other artwork based on knowledge judgment or experience
analyze and classify risks and investments to determine their potential impacts on companies.,203.0,analyze and classify risks and investments to determine their potential impacts on companies
"develop preproduction ideas and incorporate them into outlines, scripts, story boards, and graphics.",188.0,develop preproduction ideas and incorporate them into outlines scripts story boards and graphics
develop instructional materials and products for technology-based redesign of courses.,148.0,develop instructional materials and products for technologybased redesign of courses
"translate data into numbers, equations, flow charts, graphs, or other forms.",145.0,translate data into numbers equations flow charts graphs or other forms
"structure or negotiate deals, such as corporate mergers, sales, or acquisitions.",145.0,structure or negotiate deals such as corporate mergers sales or acquisitions
contact customers to persuade them to purchase merchandise or services.,142.0,contact customers to persuade them to purchase merchandise or services
provide technical support to clients in the implementation of designed instruction or in task analyses and instructional systems design.,139.0,provide technical support to clients in the implementation of designed instruction or in task analyses and instructional systems design
