soc_code,occ_title,employment,wage_annual_mean,wage_annual_median,wage_hourly_mean,year
11-0000,Management Occupations,9860740,131200.0,107360.0,63.08,2022
11-1000,Top Executives,3618820,129050.0,99890.0,62.04,2022
11-1010,Chief Executives,199240,246440.0,189520.0,118.48,2022
11-1011,Chief Executives,199240,246440.0,189520.0,118.48,2022
11-1020,General and Operations Managers,3376680,122860.0,98100.0,59.07,2022
11-1021,General and Operations Managers,3376680,122860.0,98100.0,59.07,2022
11-1030,Legislators,42890,71100.0,48090.0,,2022
11-1031,Legislators,42890,71100.0,48090.0,,2022
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",977490,152320.0,132820.0,73.23,2022
11-2010,Advertising and Promotions Managers,22010,147050.0,127830.0,70.7,2022
11-2011,Advertising and Promotions Managers,22010,147050.0,127830.0,70.7,2022
11-2020,Marketing and Sales Managers,864970,153470.0,133880.0,73.79,2022
11-2021,Marketing Managers,328570,158280.0,140040.0,76.1,2022
11-2022,Sales Managers,536390,150530.0,130600.0,72.37,2022
11-2030,Public Relations and Fundraising Managers,90510,142610.0,125620.0,68.56,2022
11-2032,Public Relations Managers,64280,150030.0,129430.0,72.13,2022
11-2033,Fundraising Managers,26240,124450.0,107390.0,59.83,2022
11-3000,Operations Specialties Managers,2322010,148190.0,130950.0,71.25,2022
11-3010,Administrative Services and Facilities Managers,353550,112440.0,101870.0,54.06,2022
11-3012,Administrative Services Managers,236570,115640.0,103330.0,55.59,2022
11-3013,Facilities Managers,116980,105970.0,99030.0,50.95,2022
11-3020,Computer and Information Systems Managers,533220,173670.0,164070.0,83.49,2022
11-3021,Computer and Information Systems Managers,533220,173670.0,164070.0,83.49,2022
11-3030,Financial Managers,740780,166050.0,139790.0,79.83,2022
11-3031,Financial Managers,740780,166050.0,139790.0,79.83,2022
11-3050,Industrial Production Managers,211710,120900.0,107560.0,58.13,2022
11-3051,Industrial Production Managers,211710,120900.0,107560.0,58.13,2022
11-3060,Purchasing Managers,75070,140650.0,131350.0,67.62,2022
11-3061,Purchasing Managers,75070,140650.0,131350.0,67.62,2022
11-3070,"Transportation, Storage, and Distribution Managers",169910,108910.0,98560.0,52.36,2022
11-3071,"Transportation, Storage, and Distribution Managers",169910,108910.0,98560.0,52.36,2022
11-3110,Compensation and Benefits Managers,16850,143140.0,131280.0,68.82,2022
11-3111,Compensation and Benefits Managers,16850,143140.0,131280.0,68.82,2022
11-3120,Human Resources Managers,181360,145750.0,130000.0,70.07,2022
11-3121,Human Resources Managers,181360,145750.0,130000.0,70.07,2022
11-3130,Training and Development Managers,39550,132100.0,120000.0,63.51,2022
11-3131,Training and Development Managers,39550,132100.0,120000.0,63.51,2022
11-9000,Other Management Occupations,2942420,113420.0,99740.0,54.53,2022
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",6250,83790.0,75760.0,40.29,2022
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",6250,83790.0,75760.0,40.29,2022
11-9020,Construction Managers,303220,112790.0,101480.0,54.22,2022
11-9021,Construction Managers,303220,112790.0,101480.0,54.22,2022
11-9030,Education and Childcare Administrators,563170,103370.0,97920.0,49.7,2022
11-9031,"Education and Childcare Administrators, Preschool and Daycare",60010,57610.0,49690.0,27.7,2022
11-9032,"Education Administrators, Kindergarten through Secondary",285910,106690.0,101320.0,,2022
11-9033,"Education Administrators, Postsecondary",167060,115180.0,99940.0,55.38,2022
11-9039,"Education Administrators, All Other",50180,99820.0,89130.0,47.99,2022
11-9040,Architectural and Engineering Managers,197180,163310.0,159920.0,78.52,2022
11-9041,Architectural and Engineering Managers,197180,163310.0,159920.0,78.52,2022
11-9050,Food Service Managers,231100,67130.0,61310.0,32.27,2022
11-9051,Food Service Managers,231100,67130.0,61310.0,32.27,2022
11-9070,Entertainment and Recreation Managers,27750,82530.0,71420.0,39.68,2022
11-9071,Gambling Managers,4800,95830.0,80710.0,46.07,2022
11-9072,"Entertainment and Recreation Managers, Except Gambling",22950,79750.0,67220.0,38.34,2022
11-9080,Lodging Managers,39870,73230.0,61910.0,35.21,2022
11-9081,Lodging Managers,39870,73230.0,61910.0,35.21,2022
11-9110,Medical and Health Services Managers,476750,127980.0,104830.0,61.53,2022
