soc_code,employment_2022,employment_2023,employment_2024,occ_title_2022,occ_title_2023,occ_title_2024,wage_annual_mean_2022,wage_annual_mean_2023,wage_annual_mean_2024,ln_wage_2022,ln_wage_2023,ln_wage_2024,delta_ln_wage_pre,delta_ln_wage_post,ai_exposure,TOT_EMP,high_exposure,exposure_quartile,individual_did
11-1011,199240.0,211230.0,211850.0,Chief Executives,Chief Executives,Chief Executives,246440.0,258900.0,262930.0,12.414873835128507,12.464197165739629,12.479643116037305,0.04932333061112182,0.015445950297676703,0.23775310254735468,211850.0,1,Q3,-0.033877380313445116
11-1021,3376680.0,3507810.0,3584420.0,General and Operations Managers,General and Operations Managers,General and Operations Managers,122860.0,129330.0,133120.0,11.718800774717918,11.77012255640929,11.799006256055035,0.05132178169137269,0.028883699645744443,0.17809963393283462,3584420.0,1,Q3,-0.02243808204562825
11-2011,22010.0,20630.0,21100.0,Advertising and Promotions Managers,Advertising and Promotions Managers,Advertising and Promotions Managers,147050.0,152620.0,149270.0,11.898527943982142,11.935706450843623,11.913512025627286,0.03717850686148161,-0.02219442521633752,0.4337675738423836,21100.0,1,Q4,-0.05937293207781913
11-2021,328570.0,368940.0,384980.0,Marketing Managers,Marketing Managers,Marketing Managers,158280.0,166410.0,171520.0,11.97212089549936,12.02220990171739,12.052455156864575,0.05008900621803036,0.030245255147184125,0.27773727948680565,384980.0,1,Q3,-0.01984375107084624
11-2022,536390.0,575880.0,603710.0,Sales Managers,Sales Managers,Sales Managers,150530.0,157610.0,160930.0,11.92191767885455,11.967878906169586,11.98872476681254,0.04596122731503627,0.020845860642953795,0.18801261829652996,603710.0,1,Q3,-0.025115366672082473
11-2033,26240.0,31810.0,36920.0,Fundraising Managers,Fundraising Managers,Fundraising Managers,124450.0,133620.0,137290.0,11.731659307795738,11.802755229479468,11.82985075589165,0.07109592168372991,0.02709552641218238,0.1676966761316185,36920.0,0,Q2,-0.04400039527154753
11-3013,116980.0,131400.0,141090.0,Facilities Managers,Facilities Managers,Facilities Managers,105970.0,111110.0,114520.0,11.570911314168882,11.618275980578055,11.64850475921205,0.04736466640917314,0.030228778633995645,0.20405442328415313,282180.0,1,Q3,-0.017135887775177494
11-3021,533220.0,592600.0,645970.0,Computer and Information Systems Managers,Computer and Information Systems Managers,Computer and Information Systems Managers,173670.0,180720.0,187990.0,12.06491222574116,12.104704151141885,12.144144048908007,0.03979192540072418,0.039439897766122556,0.4689031862745098,645970.0,1,Q4,-0.000352027634601626
11-3031,740780.0,787340.0,818620.0,Financial Managers,Financial Managers,Financial Managers,166050.0,174820.0,180470.0,12.020044226804893,12.07151215213448,12.103319837955343,0.051467925329585995,0.031807685820863796,0.42208722339786964,2455860.0,1,Q4,-0.0196602395087222
11-3051,211710.0,222890.0,234380.0,Industrial Production Managers,Industrial Production Managers,Industrial Production Managers,120900.0,125900.0,129180.0,11.702719036602884,11.743243220032438,11.768962059586464,0.04052418342955377,0.025718839554025763,0.04009628476627225,468760.0,0,Q1,-0.01480534387552801
11-3061,75070.0,77530.0,81240.0,Purchasing Managers,Purchasing Managers,Purchasing Managers,140650.0,146710.0,150630.0,11.854029813918002,11.89621312813369,11.92258177769686,0.04218331421568777,0.026368649563170976,0.22048539695598515,81240.0,1,Q3,-0.015814664652516797
11-3071,169910.0,198780.0,213000.0,"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers",108910.0,111870.0,116010.0,11.598277132069732,11.625092761840977,11.661431673269453,0.026815629771244076,0.03633891142847645,0.10963624024568866,426000.0,0,Q2,0.009523281657232374
11-3111,16850.0,18690.0,20070.0,Compensation and Benefits Managers,Compensation and Benefits Managers,Compensation and Benefits Managers,143140.0,150940.0,156230.0,11.871578451292589,11.92463768583886,11.959084559405948,0.05305923454627148,0.03444687356708798,0.17442815249266863,20070.0,1,Q3,-0.018612360979183507
11-3121,181360.0,200600.0,215520.0,Human Resources Managers,Human Resources Managers,Human Resources Managers,145750.0,154740.0,160480.0,11.889648104212739,11.949501568103445,11.985924603195762,0.05985346389070578,0.03642303509231759,0.22409909909909909,215520.0,1,Q3,-0.023430428798388192
11-3131,39550.0,41540.0,44960.0,Training and Development Managers,Training and Development Managers,Training and Development Managers,132100.0,138450.0,140590.0,11.791314490510416,11.838264528599108,11.853603132073953,0.046950038088692025,0.015338603474845058,0.453512831299958,44960.0,1,Q4,-0.03161143461384697
11-9021,303220.0,329190.0,348330.0,Construction Managers,Construction Managers,Construction Managers,112790.0,116960.0,119660.0,11.633282961633963,11.669587274983606,11.692409666944023,0.03630431334964257,0.022822391960417576,0.17153814262023218,348330.0,0,Q2,-0.013481921389224993
11-9031,60010.0,64090.0,71620.0,"Education and Childcare Administrators, Preschool and Daycare","Education and Childcare Administrators, Preschool and Daycare","Education and Childcare Administrators, Preschool and Daycare",57610.0,61320.0,62640.0,10.961451442726428,11.023861332985751,11.045159330664685,0.062409890259322864,0.02129799767893381,0.22027553159628632,71620.0,1,Q3,-0.04111189258038905
11-9032,285910.0,302580.0,319630.0,"Education Administrators, Kindergarten through Secondary","Education Administrators, Kindergarten through Secondary","Education Administrators, Kindergarten through Secondary",106690.0,111020.0,113360.0,11.577682712185506,11.617465644244152,11.638323874364563,0.039782932058646026,0.020858230120410326,0.2202174788562223,319630.0,1,Q3,-0.0189247019382357
11-9033,167060.0,167270.0,176420.0,"Education Administrators, Postsecondary","Education Administrators, Postsecondary","Education Administrators, Postsecondary",115180.0,122010.0,124450.0,11.654251401060664,11.71185828756938,11.731659307795738,0.05760688650871515,0.019801020226358546,0.031253130321546634,176420.0,0,Q1,-0.037805866282356604
11-9041,197180.0,207800.0,210340.0,Architectural and Engineering Managers,Architectural and Engineering Managers,Architectural and Engineering Managers,163310.0,172290.0,175710.0,12.003405514070788,12.056934382526451,12.076590187751938,0.05352886845566296,0.01965580522548649,0.054419628814092486,210340.0,0,Q1,-0.03387306323017647
11-9051,231100.0,246070.0,244230.0,Food Service Managers,Food Service Managers,Food Service Managers,67130.0,69580.0,72370.0,11.114386316932798,11.150232448705934,11.189547127860173,0.03584613177313578,0.039314679154239585,0.11106357491229571,244230.0,0,Q2,0.0034685473811038037
11-9071,4800.0,4590.0,4620.0,Gambling Managers,Gambling Managers,Gambling Managers,95830.0,98270.0,102480.0,11.470331067337808,11.495474071356472,11.537422936570616,0.025143004018664428,0.04194886521414354,0.10848589807026224,4620.0,0,Q2,0.01680586119547911
11-9072,22950.0,29690.0,36700.0,"Entertainment and Recreation Managers, Except Gambling","Entertainment and Recreation Managers, Except Gambling","Entertainment and Recreation Managers, Except Gambling",79750.0,84080.0,87060.0,11.286652020647091,11.339524005550834,11.374352815106288,0.05287198490374223,0.034828809555454754,0.05575989407091364,36700.0,0,Q1,-0.018043175348287477
11-9081,39870.0,41980.0,41350.0,Lodging Managers,Lodging Managers,Lodging Managers,73230.0,76790.0,77460.0,11.201360452055116,11.248829702324588,11.257516953068743,0.04746925026947224,0.00868725074415444,0.1712101398249673,41350.0,0,Q2,-0.0387819995253178
11-9111,476750.0,515100.0,565840.0,Medical and Health Services Managers,Medical and Health Services Managers,Medical and Health Services Managers,127980.0,134440.0,137730.0,11.759629280693451,11.808873281839041,11.833050525911377,0.04924400114559013,0.02417724407233557,0.16065940206761667,565840.0,0,Q2,-0.025066757073254564
11-9121,82570.0,96520.0,100870.0,Natural Sciences Managers,Natural Sciences Managers,Natural Sciences Managers,163610.0,169120.0,173500.0,12.005240825977122,12.038363801104065,12.063932878369052,0.03312297512694329,0.025569077264986362,0.13760866380574488,302610.0,0,Q2,-0.007553897861956926
11-9131,13460.0,13810.0,13810.0,Postmasters and Mail Superintendents,Postmasters and Mail Superintendents,Postmasters and Mail Superintendents,84190.0,89770.0,93760.0,11.34083142833171,11.405006122750734,11.448493604810839,0.0641746944190249,0.043487482060104554,0.08480894687791239,13810.0,0,Q2,-0.020687212358920348
11-9141,261120.0,284120.0,296640.0,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers",76110.0,78400.0,82720.0,11.239934941261437,11.269579206338499,11.323216689742257,0.02964426507706186,0.05363748340375807,0.26489510489510487,296640.0,1,Q3,0.02399321832669621
11-9151,162880.0,173650.0,195490.0,Social and Community Service Managers,Social and Community Service Managers,Social and Community Service Managers,79310.0,83400.0,86100.0,11.281119503077365,11.331403588346838,11.363264690415821,0.05028408526947281,0.03186110206898363,0.198244213886672,195490.0,1,Q3,-0.018422983200489185
11-9171,13680.0,14200.0,13120.0,Funeral Home Managers,Funeral Home Managers,Funeral Home Managers,84770.0,84800.0,85650.0,11.347696985602452,11.348050821779994,11.358024503752265,0.00035383617754192187,0.009973681972271109,0.20030597748879905,13120.0,1,Q3,0.009619845794729187
11-9179,8840.0,11170.0,10490.0,"Personal Service Managers, All Other","Personal Service Managers, All Other","Personal Service Managers, All Other",60510.0,62980.0,70620.0,11.010563919616366,11.050572494655016,11.165068669482377,0.04000857503864985,0.11449617482736052,0.18298326437611223,20980.0,1,Q3,0.07448759978871067
11-9199,543290.0,589750.0,630980.0,"Managers, All Other","Managers, All Other","Managers, All Other",141190.0,146320.0,149890.0,11.85786178000357,11.893551283064747,11.917656970724641,0.03568950306117635,0.02410568765989396,0.16333225112266378,3154900.0,0,Q2,-0.011583815401282394
13-1011,13130.0,12870.0,14220.0,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",120100.0,132810.0,165600.0,11.696080008068074,11.796674814394297,12.017330520933296,0.10059480632622275,0.22065570653899869,0.28080614203454896,14220.0,1,Q3,0.12006090021277593
13-1031,285270.0,293780.0,305020.0,"Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators",73380.0,75770.0,78770.0,11.203406697909273,11.235457714925419,11.27428749269737,0.03205101701614588,0.03882977777195151,0.2907309459810977,305020.0,1,Q3,0.006778760755805635
13-1041,359640.0,383620.0,397770.0,Compliance Officers,Compliance Officers,Compliance Officers,76980.0,80190.0,84980.0,11.251300926837738,11.292154097801074,11.350171213668803,0.04085317096333618,0.058017115867729174,0.1080034306567223,2386620.0,0,Q2,0.01716394490439299
13-1051,225310.0,220970.0,219530.0,Cost Estimators,Cost Estimators,Cost Estimators,76740.0,79520.0,83160.0,11.248178363800942,11.283763841330456,11.328521741971949,0.03558547752951391,0.044757900641492654,0.13217648144729555,219530.0,0,Q2,0.009172423111978745
13-1071,835360.0,895970.0,917460.0,Human Resources Specialists,Human Resources Specialists,Human Resources Specialists,73080.0,76060.0,79730.0,11.199310010491944,11.23927778148225,11.28640120549654,0.03996777099030702,0.04712342401428948,0.42511346444780634,917460.0,1,Q4,0.007155653023982467
13-1075,62200.0,62800.0,64590.0,Labor Relations Specialists,Labor Relations Specialists,Labor Relations Specialists,87470.0,94620.0,97130.0,11.379051156413901,11.45762414918514,11.483805566396375,0.07857299277123886,0.02618141721123557,0.0630489947296506,64590.0,0,Q1,-0.05239157556000329
13-1081,202970.0,228470.0,235640.0,Logisticians,Logisticians,Logisticians,81220.0,84640.0,87600.0,11.304916801240289,11.346162247092126,11.380536276924483,0.041245445851837204,0.03437402983235671,0.2036863911948188,706920.0,1,Q3,-0.006871416019480492
13-1111,808860.0,838140.0,893900.0,Management Analysts,Management Analysts,Management Analysts,104660.0,115530.0,114710.0,11.5584722799262,11.657285515477064,11.650162483275313,0.09881323555086396,-0.00712303220175059,0.20064427059364934,893900.0,1,Q3,-0.10593626775261455
13-1121,112070.0,122130.0,134670.0,"Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planners",58750.0,62280.0,65090.0,10.981046432006405,11.039395625947934,11.083526206566432,0.058349193941529265,0.04413058061849817,0.258751353302057,134670.0,1,Q3,-0.014218613323031093
13-1131,94630.0,101730.0,105930.0,Fundraisers,Fundraisers,Fundraisers,66670.0,70760.0,73130.0,11.107510355612106,11.16704914827372,11.199993958264997,0.05953879266161444,0.03294480999127636,0.13300028277877274,105930.0,0,Q2,-0.02659398267033808
13-1141,93550.0,99850.0,102370.0,"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists",75920.0,80620.0,82920.0,11.23743543328381,11.297502036671156,11.325631566549715,0.06006660338734626,0.028129529878558657,0.1462801164945724,102370.0,0,Q2,-0.031937073508787606
13-1151,367180.0,403480.0,436610.0,Training and Development Specialists,Training and Development Specialists,Training and Development Specialists,69870.0,71980.0,73760.0,11.154391651546497,11.184143581633021,11.208571858230476,0.029751930086524325,0.024428276597454612,0.27172503242542156,436610.0,1,Q3,-0.005323653489069713
13-1161,798620.0,846370.0,861140.0,Market Research Analysts and Marketing Specialists,Market Research Analysts and Marketing Specialists,Market Research Analysts and Marketing Specialists,78880.0,83190.0,86480.0,11.275682989276516,11.328882427277934,11.36766845231309,0.053199438001417576,0.03878602503515616,0.627555257021059,1722280.0,1,Q4,-0.014413412966261419
13-1199,1081230.0,1103440.0,1128200.0,"Business Operations Specialists, All Other","Business Operations Specialists, All Other","Business Operations Specialists, All Other",82670.0,89130.0,92380.0,11.32261205824672,11.397851257124763,11.433665783984596,0.07523919887804276,0.03581452685983244,0.3501953940226043,3384600.0,1,Q4,-0.039424672018210316
13-2011,1402420.0,1435770.0,1448290.0,Accountants and Auditors,Accountants and Auditors,Accountants and Auditors,86740.0,90780.0,93520.0,11.370670417389357,11.416194276010456,11.44593059614595,0.04552385862109887,0.02973632013549299,0.2872022374385187,1448290.0,1,Q3,-0.01578753848560588
13-2041,71960.0,73200.0,67370.0,Credit Analysts,Credit Analysts,Credit Analysts,92180.0,94750.0,98040.0,11.4314984662745,11.458997122944673,11.493130837642049,0.027498656670173816,0.034133714697375694,0.1837100022376371,67370.0,1,Q3,0.006635058027201879
13-2052,283060.0,272190.0,270480.0,Personal Financial Advisors,Personal Financial Advisors,Personal Financial Advisors,137740.0,150670.0,160210.0,11.83312312909869,11.922847293795334,11.98424073364076,0.08972416469664424,0.061393439845426556,0.4914328284082443,270480.0,1,Q4,-0.02833072485121768
13-2053,105900.0,101310.0,107820.0,Insurance Underwriters,Insurance Underwriters,Insurance Underwriters,82990.0,85610.0,90830.0,11.326475397592494,11.357557377736532,11.416744906496259,0.031081980144037402,0.059187528759727215,0.4400953029271613,107820.0,1,Q4,0.028105548615689813
13-2061,63370.0,63440.0,62830.0,Financial Examiners,Financial Examiners,Financial Examiners,95610.0,98140.0,103650.0,11.468032696079492,11.494150309643894,11.548775117863926,0.02611761356440212,0.054624808220031795,0.056139297508255775,62830.0,0,Q1,0.028507194655629675
13-2071,29090.0,27950.0,28110.0,Credit Counselors,Credit Counselors,Credit Counselors,51650.0,53440.0,55890.0,10.852245474547784,10.886314808210527,10.931140752263744,0.03406933366274245,0.04482594405321727,0.3123618090452261,28110.0,1,Q3,0.010756610390474819
13-2072,345550.0,321090.0,290530.0,Loan Officers,Loan Officers,Loan Officers,84160.0,84490.0,86020.0,11.340475027971538,11.34438846314689,11.362335106337728,0.003913435175352475,0.01794664319083772,0.2943952802359882,290530.0,1,Q3,0.014033208015485243
13-2081,50610.0,50250.0,53530.0,"Tax Examiners and Collectors, and Revenue Agents","Tax Examiners and Collectors, and Revenue Agents","Tax Examiners and Collectors, and Revenue Agents",64410.0,65370.0,67570.0,11.073024179540937,11.087818716606776,11.12091937654622,0.014794537065839108,0.033100659939444554,0.047328589178809444,53530.0,0,Q1,0.018306122873605446
13-2082,82370.0,81650.0,73570.0,Tax Preparers,Tax Preparers,Tax Preparers,55840.0,58160.0,58860.0,10.930245737436254,10.9709531122074,10.982917021787463,0.04070737477114683,0.011963909580062548,0.3315497802407797,73570.0,1,Q4,-0.028743465191084283
13-2099,127020.0,122730.0,127450.0,"Financial Specialists, All Other","Financial Specialists, All Other","Financial Specialists, All Other",83580.0,89650.0,93890.0,11.333559536001907,11.403668479033279,11.449879163252593,0.0701089430313715,0.0462106842193144,0.3240327049707641,254900.0,1,Q4,-0.023898258812057094
15-1211,505210.0,498810.0,497800.0,Computer Systems Analysts,Computer Systems Analysts,Computer Systems Analysts,107530.0,110800.0,111960.0,11.585525157384572,11.61548205329532,11.62589694362939,0.02995689591074857,0.010414890334070392,0.5158931611689134,995600.0,1,Q4,-0.01954200557667818
15-1212,163690.0,175350.0,179430.0,Information Security Analysts,Information Security Analysts,Information Security Analysts,119860.0,124740.0,127730.0,11.694079674012176,11.733986850080113,11.757673940036822,0.03990717606793659,0.02368708995670943,0.6401617250673854,179430.0,1,Q4,-0.01622008611122716
15-1221,33780.0,35210.0,38480.0,Computer and Information Research Scientists,Computer and Information Research Scientists,Computer and Information Research Scientists,155880.0,157160.0,152310.0,11.956841759452645,11.965019673672396,11.933673196609549,0.008177914219750448,-0.0313464770628471,0.4155295022102633,38480.0,1,Q4,-0.03952439128259755
15-1231,168920.0,158720.0,146450.0,Computer Network Support Specialists,Computer Network Support Specialists,Computer Network Support Specialists,76060.0,78640.0,79610.0,11.23927778148225,11.272635754821048,11.284894992082624,0.033357973338796754,0.012259237261575961,0.43066950268408793,146450.0,1,Q4,-0.021098736077220792
15-1232,696830.0,689700.0,697210.0,Computer User Support Specialists,Computer User Support Specialists,Computer User Support Specialists,61580.0,63640.0,64990.0,11.028092421478492,11.060997482451723,11.081988690888394,0.032905060973231315,0.020991208436671016,0.6443883984867592,697210.0,1,Q4,-0.011913852536560299
