onet_soc_code,api_usage_count,task_usage_share,weighted_exposure,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,Job Zone,nonroutine_total,task_importance,ai_exposure,wage_bill,wage_share,emp_share
11-1011.00,1249.0,0.0015046271199099875,0.006235420536654355,262930.0,206420.0,211850.0,Chief Executives,5,0.7973537604456826,4.159999999999999,0.0015046271199099875,55701720500.0,0.004672469764954482,0.00143086252609205
11-1021.00,376.0,0.000452954201029748,0.0018386687965151435,133120.0,102950.0,3584420.0,General and Operations Managers,4,0.6608635097493037,3.73,0.000452954201029748,477157990400.0,0.04002580644255757,0.024209640102784355
11-1031.00,17.0,2.047931228060031e-05,8.24595182363101e-05,67390.0,44810.0,26510.0,Legislators,4,,,2.047931228060031e-05,1786508900.0,0.00014985908415651345,0.00017905199701062188
11-2011.00,2913.0,0.0035091903925522764,0.01359883429786313,149270.0,126960.0,21100.0,Advertising and Promotions Managers,4,0.49651810584958234,3.736666666666667,0.0035091903925522764,3149597000.0,0.0002642000394636166,0.00014251215152486313
11-2021.00,224.0,0.00026984505593261585,0.0010990162702112743,171520.0,161030.0,384980.0,Marketing Managers,4,0.5626740947075209,3.81,0.00026984505593261585,66031769600.0,0.0055389931264769555,0.00260020512294037
11-2022.00,588.0,0.0007083432718231166,0.002896039782871103,160930.0,138060.0,603710.0,Sales Managers,4,0.6218662952646239,4.08,0.0007083432718231166,97155050300.0,0.00814973094124412,0.004077536066212091
11-2032.00,708.0,0.0008529031232155893,0.003434196406547503,163520.0,138520.0,76060.0,Public Relations Managers,4,,,0.0008529031232155893,12437331200.0,0.0010432901078652507,0.0005137191585299095
11-2033.00,50.0,6.023327141353032e-05,0.00024252799481267677,137290.0,123480.0,36920.0,Fundraising Managers,4,,,6.023327141353032e-05,5068746800.0,0.00042518554106797804,0.00024936249451649035
11-3013.00,31.0,3.73446282763888e-05,0.00013518755436052747,114520.0,104690.0,141090.0,Facilities Managers,3,0.8022284122562676,3.62,3.73446282763888e-05,16157626800.0,0.0013553624918357457,0.0009529402587034569
11-3013.01,6491.0,0.007819483294904506,0.031484984286581696,114520.0,104690.0,141090.0,Security Managers,4,,,0.007819483294904506,16157626800.0,0.0013553624918357457,0.0009529402587034569
11-3021.00,433.0,0.0005216201304411726,0.002005755891416277,187990.0,171200.0,645970.0,Computer and Information Systems Managers,4,0.6128133704735379,3.82625,0.0005216201304411726,121435900300.0,0.010186499940011313,0.004362965617086058
11-3031.00,1438.0,0.0017323088858531318,0.006990083194194476,180470.0,161700.0,818620.0,Financial Managers,4,0.5647632311977715,3.785555555555556,0.0017323088858531318,147736351400.0,0.012392680673143494,0.0055290662313404485
