onet_soc_code,total_task_importance,ai_task_importance,api_usage_count,A_MEAN,A_MEDIAN,TOT_EMP,onet_occupation_title,job_zone,ai_exposure,usage_per_worker,wage_bill,wage_at_risk,emp_at_risk
11-1011.00,122.48,29.12,1249.0,262930.0,206420.0,211850.0,Chief Executives,5.0,0.23775310254735468,0.005895680906301629,55701720500.0,13243256866.100588,50367.99477465709
11-1021.00,62.83,11.19,376.0,133120.0,102950.0,3584420.0,General and Operations Managers,4.0,0.17809963393283462,0.00010489842150194452,477157990400.0,84981663418.36702,638383.8898615311
11-2011.00,77.53,33.63,2655.0,149270.0,126960.0,21100.0,Advertising and Promotions Managers,4.0,0.4337675738423836,0.12582938388625592,3149597000.0,1366193049.27125,9152.495808074294
11-2021.00,68.59,19.05,224.0,171520.0,161030.0,384980.0,Marketing Managers,4.0,0.27773727948680565,0.0005818484077094914,66031769600.0,18339484048.403557,106923.29785683044
11-2022.00,63.4,11.92,654.0,160930.0,138060.0,603710.0,Sales Managers,4.0,0.18801261829652996,0.0010833015851981912,97155050300.0,18266375387.634068,113505.0977917981
11-2033.00,59.87,10.04,126.5,137290.0,123480.0,36920.0,Fundraising Managers,4.0,0.1676966761316185,0.0034263271939328275,5068746800.0,850011990.5127777,6191.361282779356
11-3013.00,43.14,3.62,31.0,114520.0,104690.0,141090.0,Facilities Managers,3.0,0.08391284191006027,0.00021971791055354738,16157626800.0,1355832383.310153,11839.262865090403
11-3013.01,111.63,36.19,6491.0,114520.0,104690.0,141090.0,Security Managers,4.0,0.324196004658246,0.04600609540009923,16157626800.0,5238238053.319,45740.814297231926
11-3021.00,65.28,30.61,422.0,187990.0,171200.0,645970.0,Computer and Information Systems Managers,4.0,0.4689031862745098,0.0006532811121259501,121435900300.0,56941680578.7837,302897.39123774506
11-3031.00,66.38,34.07,1438.0,180470.0,161700.0,818620.0,Financial Managers,4.0,0.5132570051220248,0.0017566147907454009,147736351400.0,75826717267.21906,420162.4495329919
11-3031.01,90.49,16.22,122.0,180470.0,161700.0,818620.0,Treasurers and Controllers,4.0,0.17924632556083545,0.00014903129657228018,147736351400.0,26481198140.214386,146734.62703061113
11-3031.03,80.94,46.44,1851.0,180470.0,161700.0,818620.0,Investment Fund Managers,5.0,0.5737583395107487,0.0022611223766827097,147736351400.0,84764963664.64047,469690.0518902891
11-3051.01,105.26,3.27,83.0,129180.0,121440.0,234380.0,Quality Control Systems Managers,4.0,0.031065931977959337,0.00035412577865005546,30277208400.0,940589696.636899,7281.233136994109
11-3051.04,73.28,3.6,32.0,129180.0,121440.0,234380.0,Biomass Power Plant Managers,4.0,0.049126637554585156,0.00013653042068435874,30277208400.0,1487417443.2314413,11514.30131004367
11-3061.00,72.93,16.08,1340.0,150630.0,139510.0,81240.0,Purchasing Managers,4.0,0.22048539695598515,0.016494337764647957,12237181200.0,2698119754.5043187,17912.233648704234
11-3071.00,101.78,15.93,912.0,116010.0,102010.0,213000.0,"Transportation, Storage, and Distribution Managers",4.0,0.15651404991157397,0.00428169014084507,24710130000.0,3867482520.1414814,33337.49263116525
11-3071.04,108.83,6.83,37.0,116010.0,102010.0,213000.0,Supply Chain Managers,4.0,0.06275843057980336,0.00017370892018779343,24710130000.0,1550768978.2229164,13367.545713498115
11-3111.00,85.25,14.870000000000001,82.0,156230.0,140360.0,20070.0,Compensation and Benefits Managers,4.0,0.17442815249266863,0.00408570004982561,3135536100.0,546925768.9970675,3500.7730205278594
11-3121.00,97.68,21.89,259.0,160480.0,140030.0,215520.0,Human Resources Managers,4.0,0.22409909909909909,0.001201744617668894,34586649600.0,7750837016.216216,48297.83783783783
11-3131.00,47.54,21.560000000000002,278.0,140590.0,127090.0,44960.0,Training and Development Managers,4.0,0.453512831299958,0.006183274021352313,6320926400.0,2866621228.102651,20389.93689524611
11-9021.00,96.48,16.55,205.0,119660.0,106980.0,348330.0,Construction Managers,4.0,0.17153814262023218,0.0005885223782045761,41681167800.0,7149910106.654229,59751.88121890547
11-9031.00,66.78,14.71,142.0,62640.0,56270.0,71620.0,"Education and Childcare Administrators, Preschool and Daycare",4.0,0.22027553159628632,0.0019826864004468025,4486276800.0,988217007.0080863,15776.133572926026
11-9032.00,124.15,27.34,700.0,113360.0,104070.0,319630.0,"Education Administrators, Kindergarten through Secondary",5.0,0.2202174788562223,0.0021900322247598784,36233256800.0,7979196463.246073,70388.11276681433
11-9033.00,99.83,3.12,19.0,124450.0,103960.0,176420.0,"Education Administrators, Postsecondary",5.0,0.031253130321546634,0.00010769753996145562,21955469000.0,686177133.9276772,5513.677251327257
11-9041.00,63.58,3.46,83.0,175710.0,167740.0,210340.0,Architectural and Engineering Managers,5.0,0.054419628814092486,0.00039459922030997435,36958841400.0,2011286430.3869143,11446.624724756213
11-9051.00,116.87,12.98,128.0,72370.0,65310.0,244230.0,Food Service Managers,2.0,0.11106357491229571,0.0005240961388854768,17674925100.0,1963040367.9130657,27125.056900829983
11-9071.00,80.84,8.77,82.0,102480.0,85580.0,4620.0,Gambling Managers,2.0,0.10848589807026224,0.01774891774891775,473457600.0,51363472.93419099,501.2048490846115
11-9072.00,67.97,3.79,11.0,87060.0,77180.0,36700.0,"Entertainment and Recreation Managers, Except Gambling",4.0,0.05575989407091364,0.0002997275204359673,3195102000.0,178158549.0657643,2046.3881124025306
11-9081.00,99.41,17.02,195.0,77460.0,68130.0,41350.0,Lodging Managers,4.0,0.1712101398249673,0.00471584038694075,3202971000.0,548381112.7653153,7079.539281762398
11-9111.00,71.58,11.5,247.0,137730.0,117960.0,565840.0,Medical and Health Services Managers,4.0,0.16065940206761667,0.00043651915735897076,77933143200.0,12520692187.761946,90907.51606594022
11-9121.00,60.72,10.67,198.0,173500.0,161180.0,100870.0,Natural Sciences Managers,5.0,0.17572463768115942,0.0019629225736095966,17500945000.0,3075347219.2028985,17725.344202898552
