soc_code,task_id,task_description,occupation_title,task_type
11-1011.00,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Chief Executives,Core
11-1011.00,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Chief Executives,Core
11-1011.00,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Chief Executives,Core
11-1011.00,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Chief Executives,Core
11-1011.00,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Chief Executives,Core
11-1011.00,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",Chief Executives,Core
11-1011.00,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,Chief Executives,Supplemental
11-1021.00,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",General and Operations Managers,Core
11-1021.00,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,General and Operations Managers,Core
11-1021.00,945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",General and Operations Managers,Supplemental
11-1031.00,15288,"Determine campaign strategies for media advertising, positions on issues, and public appearances.",Legislators,
11-2011.00,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",Advertising and Promotions Managers,Core
11-2011.00,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",Advertising and Promotions Managers,Core
11-2011.00,3238,Plan and execute advertising policies and strategies for organizations.,Advertising and Promotions Managers,Core
11-2011.00,3243,Contact organizations to explain services and facilities offered.,Advertising and Promotions Managers,Core
11-2011.00,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Advertising and Promotions Managers,Core
11-2011.00,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",Advertising and Promotions Managers,Core
11-2011.00,3245,Represent company at trade association meetings to promote products.,Advertising and Promotions Managers,Supplemental
11-2011.00,21218,Analyze the effectiveness of marketing tactics or channels.,Advertising and Promotions Managers,
11-2011.00,21224,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",Advertising and Promotions Managers,
11-2021.00,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Marketing Managers,Core
11-2021.00,20709,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",Marketing Managers,Core
11-2021.00,957,Compile lists describing product or service offerings.,Marketing Managers,Core
11-2021.00,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",Marketing Managers,Core
11-2022.00,1,Resolve customer complaints regarding sales and service.,Sales Managers,Core
