onet_soc,bls_soc
15-1253.00,15-1253-00
15-1252.00,15-1252-00
15-2099.01,15-2099-01
15-1243.01,15-1243-01
15-1242.00,15-1242-00
15-1254.00,15-1254-00
15-1299.08,15-1299-08
15-1251.00,15-1251-00
19-3022.00,19-3022-00
27-2011.00,27-2011-00
15-1211.00,15-1211-00
15-1244.00,15-1244-00
43-6014.00,43-6014-00
27-3041.00,27-3041-00
27-3043.05,27-3043-05
41-4011.00,41-4011-00
15-1221.00,15-1221-00
11-3013.01,11-3013-01
43-4051.00,43-4051-00
25-1011.00,25-1011-00
15-2051.02,15-2051-02
43-4111.00,43-4111-00
19-1029.01,19-1029-01
33-3012.00,33-3012-00
27-3043.00,27-3043-00
43-4121.00,43-4121-00
15-2041.00,15-2041-00
43-9061.00,43-9061-00
41-3031.00,41-3031-00
27-1024.00,27-1024-00
43-9022.00,43-9022-00
43-9111.00,43-9111-00
15-1231.00,15-1231-00
41-2011.00,41-2011-00
15-1299.01,15-1299-01
13-1161.00,13-1161-00
51-9162.00,51-9162-00
15-1255.01,15-1255-01
15-2051.01,15-2051-01
11-9179.02,11-9179-02
25-1042.00,25-1042-00
41-9031.00,41-9031-00
27-1014.00,27-1014-00
25-9031.00,25-9031-00
13-1199.06,13-1199-06
25-3041.00,25-3041-00
27-3042.00,27-3042-00
13-1141.00,13-1141-00
25-1194.00,25-1194-00
19-3033.00,19-3033-00
27-3091.00,27-3091-00
11-9121.01,11-9121-01
15-1299.03,15-1299-03
15-1299.02,15-1299-02
19-4021.00,19-4021-00
27-4021.00,27-4021-00
13-1161.01,13-1161-01
15-1241.01,15-1241-01
17-3022.00,17-3022-00
25-1124.00,25-1124-00
43-4021.00,43-4021-00
19-2032.00,19-2032-00
17-2199.07,17-2199-07
11-3061.00,11-3061-00
43-9021.00,43-9021-00
11-2011.00,11-2011-00
21-1014.00,21-1014-00
13-1011.00,13-1011-00
11-1011.00,11-1011-00
29-1141.03,29-1141-03
51-8013.00,51-8013-00
45-2092.00,45-2092-00
27-1013.00,27-1013-00
41-2031.00,41-2031-00
27-2032.00,27-2032-00
19-4061.00,19-4061-00
15-1212.00,15-1212-00
19-3093.00,19-3093-00
19-4043.00,19-4043-00
13-1071.00,13-1071-00
17-2061.00,17-2061-00
19-2031.00,19-2031-00
43-3031.00,43-3031-00
49-2022.00,49-2022-00
41-3011.00,41-3011-00
27-1011.00,27-1011-00
27-2012.00,27-2012-00
51-6052.00,51-6052-00
25-1051.00,25-1051-00
11-9179.01,11-9179-01
15-1232.00,15-1232-00
15-1243.00,15-1243-00
25-2022.00,25-2022-00
11-3031.00,11-3031-00
21-2011.00,21-2011-00
13-2051.00,13-2051-00
49-2011.00,49-2011-00
35-9031.00,35-9031-00
27-4032.00,27-4032-00
41-4012.00,41-4012-00
47-1011.00,47-1011-00
25-9042.00,25-9042-00
19-2099.01,19-2099-01
19-1029.03,19-1029-03
25-3011.00,25-3011-00
11-3071.00,11-3071-00
41-3091.00,41-3091-00
25-4022.00,25-4022-00
15-1211.01,15-1211-01
43-9031.00,43-9031-00
33-9032.00,33-9032-00
19-3051.00,19-3051-00
43-9041.00,43-9041-00
25-4031.00,25-4031-00
11-2022.00,11-2022-00
41-9011.00,41-9011-00
41-3021.00,41-3021-00
51-9061.00,51-9061-00
29-2033.00,29-2033-00
43-4171.00,43-4171-00
21-1012.00,21-1012-00
15-2031.00,15-2031-00
25-4011.00,25-4011-00
11-3031.03,11-3031-03
43-4071.00,43-4071-00
41-1011.00,41-1011-00
15-2021.00,15-2021-00
41-9091.00,41-9091-00
19-4099.03,19-4099-03
17-3027.01,17-3027-01
19-2042.00,19-2042-00
51-9021.00,51-9021-00
15-2041.01,15-2041-01
13-1031.00,13-1031-00
43-4181.00,43-4181-00
47-2231.00,47-2231-00
19-1021.00,19-1021-00
19-3091.00,19-3091-00
11-9141.00,11-9141-00
15-1255.00,15-1255-00
11-2032.00,11-2032-00
13-2011.00,13-2011-00
41-9022.00,41-9022-00
19-1023.00,19-1023-00
27-3031.00,27-3031-00
53-7065.00,53-7065-00
29-2012.00,29-2012-00
29-2072.00,29-2072-00
17-3027.00,17-3027-00
53-3031.00,53-3031-00
13-2052.00,13-2052-00
15-1299.09,15-1299-09
19-3032.00,19-3032-00
25-2021.00,25-2021-00
51-9198.00,51-9198-00
49-9061.00,49-9061-00
13-1081.01,13-1081-01
43-6011.00,43-6011-00
15-1241.00,15-1241-00
43-3021.00,43-3021-00
43-4041.00,43-4041-00
19-1029.02,19-1029-02
25-9044.00,25-9044-00
11-1021.00,11-1021-00
11-9032.00,11-9032-00
25-3021.00,25-3021-00
13-1121.00,13-1121-00
17-2141.00,17-2141-00
31-9092.00,31-9092-00
33-3051.00,33-3051-00
27-1012.00,27-1012-00
13-2061.00,13-2061-00
13-1199.07,13-1199-07
29-1215.00,29-1215-00
13-2099.01,13-2099-01
51-6061.00,51-6061-00
13-1199.04,13-1199-04
21-1013.00,21-1013-00
25-4012.00,25-4012-00
25-1123.00,25-1123-00
19-4071.00,19-4071-00
23-1021.00,23-1021-00
29-1218.00,29-1218-00
29-1031.00,29-1031-00
43-4081.00,43-4081-00
49-1011.00,49-1011-00
41-1012.00,41-1012-00
27-3092.00,27-3092-00
17-2071.00,17-2071-00
43-1011.00,43-1011-00
11-9199.01,11-9199-01
29-1051.00,29-1051-00
41-3041.00,41-3041-00
43-9071.00,43-9071-00
29-1224.00,29-1224-00
29-1216.00,29-1216-00
27-4031.00,27-4031-00
51-9124.00,51-9124-00
37-1012.00,37-1012-00
43-3061.00,43-3061-00
53-7011.00,53-7011-00
13-1041.07,13-1041-07
29-2011.00,29-2011-00
13-1111.00,13-1111-00
17-2031.00,17-2031-00
41-2021.00,41-2021-00
39-1014.00,39-1014-00
13-2072.00,13-2072-00
43-4011.00,43-4011-00
19-2043.00,19-2043-00
31-9094.00,31-9094-00
29-2011.04,29-2011-04
17-2199.03,17-2199-03
41-9041.00,41-9041-00
13-1081.02,13-1081-02
11-9199.02,11-9199-02
25-2032.00,25-2032-00
51-9161.00,51-9161-00
43-4131.00,43-4131-00
11-3121.00,11-3121-00
43-6013.00,43-6013-00
19-3034.00,19-3034-00
51-8093.00,51-8093-00
41-9021.00,41-9021-00
13-1041.00,13-1041-00
51-6062.00,51-6062-00
17-2072.00,17-2072-00
27-1022.00,27-1022-00
43-2011.00,43-2011-00
13-1023.00,13-1023-00
13-2082.00,13-2082-00
17-3012.00,17-3012-00
19-3092.00,19-3092-00
25-1054.00,25-1054-00
25-1112.00,25-1112-00
41-4011.07,41-4011-07
47-2132.00,47-2132-00
